System.IterationPath,Iteration Path
Microsoft.VSTS.CMMI.RequiredAttendee4,Required Attendee 4
Microsoft.VSTS.CMMI.RequiredAttendee5,Required Attendee 5
Microsoft.VSTS.CMMI.RequiredAttendee6,Required Attendee 6
Microsoft.VSTS.CMMI.RequiredAttendee7,Required Attendee 7
Microsoft.VSTS.CMMI.RequiredAttendee8,Required Attendee 8
Microsoft.VSTS.CMMI.OptionalAttendee1,Optional Attendee 1
Microsoft.VSTS.CMMI.OptionalAttendee2,Optional Attendee 2
Microsoft.VSTS.CMMI.OptionalAttendee3,Optional Attendee 3
Microsoft.VSTS.CMMI.OptionalAttendee4,Optional Attendee 4
Microsoft.VSTS.CMMI.OptionalAttendee5,Optional Attendee 5
Microsoft.VSTS.CMMI.OptionalAttendee6,Optional Attendee 6
Microsoft.VSTS.CMMI.OptionalAttendee7,Optional Attendee 7
Microsoft.VSTS.CMMI.OptionalAttendee8,Optional Attendee 8
Microsoft.VSTS.CMMI.ActualAttendee1,Actual Attendee 1
Microsoft.VSTS.CMMI.ActualAttendee2,Actual Attendee 2
Microsoft.VSTS.CMMI.ActualAttendee3,Actual Attendee 3
Microsoft.VSTS.CMMI.ActualAttendee4,Actual Attendee 4
Microsoft.VSTS.CMMI.ActualAttendee5,Actual Attendee 5
Microsoft.VSTS.CMMI.ActualAttendee6,Actual Attendee 6
Microsoft.VSTS.CMMI.ActualAttendee7,Actual Attendee 7
Microsoft.VSTS.CMMI.ActualAttendee8,Actual Attendee 8
Microsoft.VSTS.Common.BacklogPriority,Backlog Priority
Microsoft.VSTS.Common.Resolution,Resolution
System.RemoteLinkCount,Remote Link Count
System.CommentCount,Comment Count
System.AuthorizedAs,Authorized As
System.AuthorizedDate,Authorized Date
System.Watermark,Watermark
System.Tags,Tags
System.BoardColumn,Board Column
System.BoardColumnDone,Board Column Done
System.BoardLane,Board Lane
